Datetime,Temp,Wind_dir,Wind_speed,Prec,Dew_point
2014010100,-2.2,140.0,2.0,0.0,-12.5
2014010101,1.6,200.0,1.7,0.0,-12.7
2014010102,5.4,260.0,1.3,0.0,-13.0
2014010103,9.2,320.0,1.0,0.0,-13.2
2014010104,10.1,296.7,1.7,0.0,-13.4
2014010105,11.0,273.3,2.3,0.0,-13.7
2014010106,11.9,250.0,3.0,0.0,-13.9
2014010107,11.0,233.3,2.7,0.0,-13.5
2014010108,10.0,216.7,2.3,0.0,-13.1
2014010109,9.1,200.0,2.0,0.0,-12.7
2014010110,7.0,216.7,1.7,0.0,-12.6
2014010111,4.9,233.3,1.3,0.0,-12.4
2014010112,2.8,250.0,1.0,0.0,-12.3
2014010113,2.2,233.3,1.0,0.0,-12.1
2014010114,1.5,216.7,1.0,0.0,-12.0
2014010115,0.9,200.0,1.0,0.0,-11.8
2014010116,-0.1,223.3,1.0,0.0,-11.5
2014010117,-1.2,246.7,1.0,0.0,-11.3
2014010118,-2.2,270.0,1.0,0.0,-11.0
2014010119,-1.8,203.3,1.3,0.0,-10.8
2014010120,-1.3,136.7,1.7,0.0,-10.5
2014010121,-0.9,70.0,2.0,0.0,-10.3
2014010122,-1.4,60.0,1.7,0.0,-9.0
2014010123,-1.8,50.0,1.3,0.0,-7.8
2014010200,-2.3,40.0,1.0,0.0,-6.5
2014010201,-0.4,50.0,1.7,0.0,-6.5
2014010202,1.4,60.0,2.3,0.0,-6.4
2014010203,3.3,70.0,3.0,0.0,-6.4
2014010204,4.4,76.7,2.7,0.0,-6.2
2014010205,5.6,83.3,2.3,0.0,-6.1
2014010206,6.7,90.0,2.0,0.0,-5.9
2014010207,6.3,126.7,2.0,0.0,-6.1
2014010208,5.8,163.3,2.0,0.0,-6.3
2014010209,5.4,200.0,2.0,0.0,-6.5
2014010210,4.2,230.0,1.5,0.0,-6.5
2014010211,3.1,260.0,1.0,0.0,-6.4
2014010212,1.9,290.0,0.5,0.0,-6.4
2014010213,1.2,193.3,0.3,0.0,-6.3
2014010214,0.4,96.7,0.2,0.0,-6.2
2014010215,-0.3,0.0,0.0,0.0,-6.1
2014010216,1.1,106.7,0.7,0.0,-6.9
2014010217,2.4,213.3,1.3,0.0,-7.8
2014010218,3.8,320.0,2.0,0.0,-8.6
2014010219,4.4,333.3,3.0,0.0,-10.2
2014010220,5.1,346.7,4.0,0.0,-11.7
2014010221,5.7,360.0,5.0,0.0,-13.3
2014010222,5.2,353.3,4.7,0.0,-13.4
2014010223,4.8,346.7,4.3,0.0,-13.4
2014010300,4.3,340.0,4.0,0.0,-13.5
2014010301,5.1,346.7,4.0,0.0,-13.4
2014010302,5.8,353.3,4.0,0.0,-13.2
2014010303,6.6,360.0,4.0,0.0,-13.1
2014010304,7.2,246.7,3.3,0.0,-13.4
2014010305,7.7,133.3,2.7,0.0,-13.7
2014010306,8.3,20.0,2.0,0.0,-14.0
