Datetime,Temp,Wind_dir,Wind_speed,Prec,Dew_point
2014050100,19.5,180.0,1.0,0.0,14.1
2014050101,21.2,193.3,1.7,0.0,14.1
2014050102,23.0,206.7,2.3,0.0,14.2
2014050103,24.7,220.0,3.0,0.0,14.2
2014050104,25.3,170.0,3.0,0.0,14.5
2014050105,25.8,120.0,3.0,0.0,14.8
2014050106,26.4,70.0,3.0,0.0,15.1
2014050107,26.1,70.0,2.3,0.0,15.6
2014050108,25.9,70.0,1.7,0.0,16.2
2014050109,25.6,70.0,1.0,0.0,16.7
2014050110,24.7,100.0,1.3,0.0,15.5
2014050111,23.9,130.0,1.7,0.0,14.4
2014050112,23.0,160.0,2.0,0.0,13.2
2014050113,22.4,173.3,2.3,0.0,13.4
2014050114,21.7,186.7,2.7,0.0,13.6
2014050115,21.1,200.0,3.0,0.0,13.8
2014050116,20.5,216.7,2.3,0.0,13.6
2014050117,19.8,233.3,1.7,0.0,13.4
2014050118,19.2,250.0,1.0,0.0,13.2
2014050119,18.4,250.0,1.0,0.0,13.2
2014050120,17.5,250.0,1.0,0.0,13.2
2014050121,16.7,250.0,1.0,0.0,13.2
2014050122,18.8,250.0,1.7,0.0,13.3
2014050123,20.9,250.0,2.3,0.0,13.4
2014050200,23.0,250.0,3.0,0.0,13.5
2014050201,24.9,256.7,3.7,0.0,13.0
2014050202,26.7,263.3,4.3,0.0,12.6
2014050203,28.6,270.0,5.0,0.0,12.1
2014050204,29.0,270.0,4.7,0.0,12.3
2014050205,29.5,270.0,4.3,0.0,12.6
2014050206,29.9,270.0,4.0,0.0,12.8
2014050207,28.4,186.7,4.3,0.0,13.6
2014050208,27.0,103.3,4.7,0.0,14.4
2014050209,25.5,20.0,5.0,0.0,15.2
2014050210,23.5,36.7,4.3,0.0,13.9
2014050211,21.4,53.3,3.7,0.0,12.7
2014050212,19.4,70.0,3.0,0.0,11.4
2014050213,18.9,70.0,3.0,0.0,10.6
2014050214,18.4,70.0,3.0,0.0,9.8
2014050215,17.9,70.0,3.0,0.0,9.0
2014050216,17.7,70.0,2.3,0.0,8.7
2014050217,17.4,70.0,1.7,0.0,8.4
2014050218,17.2,70.0,1.0,0.0,8.1
2014050219,16.9,70.0,1.7,0.0,8.4
2014050220,16.7,70.0,2.3,0.0,8.8
2014050221,16.4,70.0,3.0,0.0,9.1
2014050222,16.3,76.7,2.7,0.0,8.6
2014050223,16.2,83.3,2.3,0.0,8.1
2014050300,16.1,90.0,2.0,0.0,7.6
2014050301,16.3,96.7,2.3,0.0,8.2
2014050302,16.4,103.3,2.7,0.0,8.7
2014050303,16.6,110.0,3.0,0.0,9.3
2014050304,17.1,120.0,3.0,0.0,7.8
2014050305,17.7,130.0,3.0,0.0,6.4
2014050306,18.2,140.0,3.0,0.0,4.9
2014050307,18.1,130.0,3.7,0.0,4.1
2014050308,18.0,120.0,4.3,0.0,3.4
2014050309,17.9,110.0,5.0,0.0,2.6
2014050310,17.3,110.0,4.3,0.0,4.2
2014050311,16.7,110.0,3.7,0.0,5.7
2014050312,16.1,110.0,3.0,0.0,7.3
2014050313,16.1,126.7,3.0,0.0,7.6
2014050314,16.1,143.3,3.0,0.0,7.8
2014050315,16.1,160.0,3.0,0.0,8.1
2014050316,16.1,153.3,2.7,0.0,8.7
2014050317,16.0,146.7,2.3,0.0,9.3
2014050318,16.0,140.0,2.0,0.0,9.9
2014050319,16.2,116.7,1.7,0.0,10.2
2014050320,16.5,93.3,1.3,0.0,10.5
2014050321,16.8,70.0,1.0,0.0,10.9
2014050322,17.0,46.7,0.7,0.0,11.2
2014050323,17.2,23.3,0.3,0.0,11.5
2014050400,17.5,0.0,0.0,0.0,11.8
2014050401,17.3,96.7,1.3,0.0,12.1
2014050402,17.1,193.3,2.7,0.0,12.3
2014050403,16.9,290.0,4.0,0.0,12.6
2014050404,16.5,200.0,3.0,2.3,13.0
2014050405,16.0,110.0,2.0,4.7,13.4
2014050406,15.6,20.0,1.0,7.0,13.8
2014050407,15.7,103.3,1.0,4.7,14.0
2014050408,15.7,186.7,1.0,2.3,14.3
2014050409,15.8,270.0,1.0,0.0,14.5
2014050410,15.5,193.3,1.3,1.0,12.4
2014050411,15.1,116.7,1.7,2.0,10.4
2014050412,14.8,40.0,2.0,3.0,8.3
2014050413,14.7,40.0,1.7,2.0,7.8
2014050414,14.5,40.0,1.3,1.0,7.2
2014050415,14.4,40.0,1.0,0.0,6.7
2014050416,14.3,40.0,1.7,0.0,6.9
2014050417,14.1,40.0,2.3,0.0,7.1
2014050418,14.0,40.0,3.0,0.0,7.3
2014050419,13.8,40.0,2.7,3.2,6.6
2014050420,13.6,40.0,2.3,6.5,5.8
2014050421,13.4,40.0,2.0,9.7,5.1
2014050422,14.3,40.0,2.3,9.7,4.8
2014050423,15.1,40.0,2.7,9.7,4.4
2014050500,16.0,40.0,3.0,9.7,4.1
2014050501,16.8,40.0,3.3,6.5,2.4
2014050502,17.5,40.0,3.7,3.2,0.7
2014050503,18.3,40.0,4.0,0.0,-1.0
2014050504,18.6,33.3,3.3,0.0,-1.7
2014050505,18.8,26.7,2.7,0.0,-2.4
2014050506,19.1,20.0,2.0,0.0,-3.1
2014050507,19.0,36.7,2.3,0.0,-2.5
2014050508,18.8,53.3,2.7,0.0,-1.8
2014050509,18.7,70.0,3.0,0.0,-1.2
2014050510,17.7,93.3,2.7,0.0,-0.9
2014050511,16.6,116.7,2.3,0.0,-0.5
2014050512,15.6,140.0,2.0,0.0,-0.2
2014050513,15.1,146.7,1.7,0.0,0.2
2014050514,14.5,153.3,1.3,0.0,0.6
2014050515,14.0,160.0,1.0,0.0,1.0
2014050516,13.3,166.7,1.0,0.0,2.1
2014050517,12.7,173.3,1.0,0.0,3.1
2014050518,12.0,180.0,1.0,0.0,4.2
2014050519,11.2,120.0,0.7,0.0,4.9
2014050520,10.3,60.0,0.3,0.0,5.5
2014050521,9.5,0.0,0.0,0.0,6.2
2014050522,12.0,60.0,0.7,0.0,5.5
2014050523,14.5,120.0,1.3,0.0,4.7
2014050600,17.0,180.0,2.0,0.0,4.0
2014050601,18.3,180.0,2.7,0.0,2.5
2014050602,19.6,180.0,3.3,0.0,1.1
2014050603,20.9,180.0,4.0,0.0,-0.4
2014050604,21.3,166.7,4.3,0.0,-0.7
2014050605,21.6,153.3,4.7,0.0,-1.0
2014050606,22.0,140.0,5.0,0.0,-1.3
2014050607,21.5,140.0,5.3,0.0,-1.3
2014050608,20.9,140.0,5.7,0.0,-1.4
2014050609,20.4,140.0,6.0,0.0,-1.4
2014050610,19.3,146.7,5.3,0.0,-0.3
2014050611,18.2,153.3,4.7,0.0,0.8
2014050612,17.1,160.0,4.0,0.0,1.9
2014050613,16.9,160.0,4.3,0.0,2.2
2014050614,16.6,160.0,4.7,0.0,2.5
2014050615,16.4,160.0,5.0,0.0,2.8
2014050616,16.0,160.0,5.3,0.0,4.8
2014050617,15.5,160.0,5.7,0.0,6.8
2014050618,15.1,160.0,6.0,0.0,8.8
2014050619,15.0,160.0,5.0,0.0,9.2
2014050620,15.0,160.0,4.0,0.0,9.7
2014050621,14.9,160.0,3.0,0.0,10.1
2014050622,16.1,166.7,3.0,0.0,10.0
2014050623,17.4,173.3,3.0,0.0,10.0
2014050700,18.6,180.0,3.0,0.0,9.9
2014050701,20.2,193.3,3.3,0.0,9.8
2014050702,21.7,206.7,3.7,0.0,9.8
2014050703,23.3,220.0,4.0,0.0,9.7
2014050704,24.3,213.3,4.0,0.0,10.1
2014050705,25.2,206.7,4.0,0.0,10.4
2014050706,26.2,200.0,4.0,0.0,10.8
2014050707,25.6,193.3,3.7,0.0,11.4
2014050708,25.1,186.7,3.3,0.0,11.9
2014050709,24.5,180.0,3.0,0.0,12.5
2014050710,23.4,173.3,2.7,0.0,13.3
2014050711,22.3,166.7,2.3,0.0,14.0
2014050712,21.2,160.0,2.0,0.0,14.8
2014050713,20.4,166.7,1.7,0.0,15.0
2014050714,19.7,173.3,1.3,0.0,15.2
2014050715,18.9,180.0,1.0,0.0,15.4
2014050716,18.2,203.3,1.0,0.0,15.3
2014050717,17.5,226.7,1.0,0.0,15.3
2014050718,16.8,250.0,1.0,0.0,15.2
2014050719,16.6,256.7,1.0,0.0,15.2
2014050720,16.4,263.3,1.0,0.0,15.1
2014050721,16.2,270.0,1.0,0.0,15.1
2014050722,18.1,193.3,1.7,0.0,15.1
2014050723,19.9,116.7,2.3,0.0,15.2
2014050800,21.8,40.0,3.0,0.0,15.2
2014050801,22.3,146.7,3.3,0.0,14.5
2014050802,22.9,253.3,3.7,0.0,13.7
2014050803,23.4,360.0,4.0,0.0,13.0
2014050804,23.4,253.3,4.0,0.0,11.7
2014050805,23.5,146.7,4.0,0.0,10.4
2014050806,23.5,40.0,4.0,0.0,9.1
2014050807,22.2,50.0,4.3,0.0,9.2
2014050808,21.0,60.0,4.7,0.0,9.2
2014050809,19.7,70.0,5.0,0.0,9.3
2014050810,18.7,76.7,4.3,0.0,9.8
2014050811,17.7,83.3,3.7,0.0,10.3
2014050812,16.7,90.0,3.0,0.0,10.8
2014050813,16.7,96.7,2.7,0.0,10.7
